Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,Karma Şemsiye Fonu,"107,736","65,114","394,974","523,629","591,385",-,-,2,2,"65,25","4,38","266.745.817,20","233.890.505,66","-12,32","109.287.327,00","92.056.191,00","-15,77","4,10"
KDL,KT PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"29,823","66,674","472,326","578,454","590,812",-,-,2,2,"43,79","4,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,"63,253","12,326","445,901","644,221","589,342",-,-,1,0,"66,36",,"31.788.979,97","34.301.488,56","7,90","15.148.071,00","14.176.009,00","-6,42","15,30"
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,Karma Şemsiye Fonu,"55,713","73,118","506,049","555,986","588,642",-,-,"2,5",0,"96,83","3,65","973.743.411,75","1.073.313.324,49","10,23","833.880.699,00","892.821.563,00","7,07","2,95"
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"29,706","66,083","471,148","575,838","587,338",-,-,"2,5",0,"95,33","3,65","1.414.724.930,88","1.397.718.282,97","-1,20","24.248.137.172,23","23.280.099.616,23","-3,99","2,91"
RPC,ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"99,800","19,385","586,890","543,604","584,006",-,-,"2,4","2,4","73,24","3,65","371.354.007,85","498.232.267,83","34,17","103.708.982,00","123.625.335,00","19,20","12,55"
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"45,089","-25,246","285,943","332,086","582,454",-,-,"1,05",0,"125,39",,"1.094.258.070,72","1.230.859.481,15","12,48","35.972.846,00","37.784.136,00","5,04","7,09"
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"25,900","64,694","533,157","551,057","579,301",-,-,"1,25","1,25","30,04",,"3.125.321,32","3.811.170,93","21,94","1.645.994,00","1.820.872,00","10,62","10,23"
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,Değişken Şemsiye Fonu,"54,014","67,970","355,380","527,462","572,614","1,465,380","2,272,859",3,0,"48,05",,"3.215.023,92","2.895.744,91","-9,93","1.577.985,00","1.339.152,00","-15,14","6,13"
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"54,378","78,535","473,343","536,773","569,796",-,-,"0,3","0,3","65,47",,"515.741.166,97","674.507.101,01","30,78","17.138.155,00","21.628.459,00","26,20","3,63"
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"32,177","69,939","472,256","556,882","564,954","2,314,590","4,617,191","2,5","2,5",0,"3,65","73.530.730,10","69.549.255,17","-5,41","25.571.976,00","23.314.679,00","-8,83","3,74"
ICD,ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"41,097","113,000","295,621","513,415","563,530","1,494,225","2,375,789","0,3","0,3","59,08",,"67.539.193,24","118.031.584,91","74,76","48.306.325,00","76.599.730,00","58,57","10,21"
OIL,OSMANLI PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"-0,2869","0,5911","449,478","322,352","561,337",-,-,3,0,0,"3,65","73.599.064,77","86.214.520,09","17,14","33.698.078,00","38.148.539,00","13,21","3,47"
GZG,GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"27,912","0,5936","465,972","447,684","558,744",-,-,"2,15","2,15","65,85","3,65","96.208.715,96","132.752.363,64","37,98","21.228.512,00","27.191.238,00","28,09","7,73"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"43,524","69,506","440,168","500,820","555,204","1,629,078","2,892,549","2,5","2,5","83,99","3,65","2.320.850,23","2.394.980,78","3,19","1.233.321,00","1.235.927,00","0,21","2,98"
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"97,555","78,258","537,047","568,709","553,951",-,-,"1,1","1,1","67,47",0,"39.254.647,75","41.331.371,23","5,29","9.004.085,00","9.129.085,00","1,39","3,85"
FFH,QNB FİNANS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"24,501","58,022","439,477","482,938","551,363",-,-,0,"1,13","34,01","1,65","10.452.795.689,01","11.372.925.071,57","8,80","350.383.436,00","359.165.036,00","2,51","6,14"
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"101,026","64,363","502,012","577,695","550,963","2,927,100","5,849,431","2,55","2,55","40,7",0,"301.002.947,37","360.898.998,40","19,90","185.504.441,00","211.559.630,00","14,05","5,13"
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"42,482","72,884","509,348","464,446","546,266","2,023,707","3,290,886","125,195","125,195","60,94","3,65","32.009.130.510,86","33.873.049.821,72","5,82","1.100.540.156,00","1.134.933.385,00","3,13","2,62"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"32,708","65,967","443,715","531,119","540,774","2,228,066",-,1,1,"62,38","4,38","233.823.314,97","172.075.226,81","-26,41","149.549.729,00","107.433.546,00","-28,16","2,44"
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,Serbest Şemsiye Fonu,"58,168","69,057","469,781","499,306","539,927",-,-,1,1,"27,12","1,65","4.667.418,59","3.533.408,89","-24,30","2.556.260,00","1.875.573,00","-26,63","3,18"
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"34,003","94,879","345,109","478,361","539,129","1,741,621","3,089,292","2,4","2,4","96,75","3,65","4.033.351,38","6.548.516,60","62,36","2.522.922,00","3.605.145,00","42,90","13,62"
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"42,353","80,706","458,412","470,835","537,325","1,808,327","3,032,520","2,2","2,2",0,"3,65","10.995.859,98","16.423.896,58","49,36","372.481,00","526.441,00","41,33","5,68"
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"32,178","49,524","388,188","433,076","535,920",-,-,"1,46","1,46","33,98","3,65","220.732.727,96","282.410.453,58","27,94","159.287.502,00","198.211.793,00","24,44","2,82"
OJB,QNB FİNANS PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"30,420","67,534","475,072","574,499","531,970",-,-,"1,46","1,46","67,54","3,65","2.985.201,69","2.686.683,97","-10,00","2.149.097,00","1.915.286,00","-10,88","0,99"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"29,575","62,627","371,458","494,954","529,423","1,334,058","2,156,704","2,55","2,55","66,95",0,"158.165.977,77","162.888.762,39","2,99","1.443.195.435,00","1.432.017.019,00","-0,77","3,79"
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,1721","70,288","492,933","518,787","528,506",-,-,"1,095","1,095","66,58",0,"121.009.791,93","135.885.570,96","12,29","48.089.055,00","51.135.187,00","6,33","5,60"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"-93,268","42,448","553,856","487,557","528,031","6,635,645","4,500,911","2,25","2,25",0,,"5.166.438.061,83","6.042.746.371,87","16,96","3.206.450.613,00","3.661.305.496,00","14,19","2,43"
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"38,655","30,602","437,149","495,498","526,220",-,-,2,2,"72,69","3,65","1.459.050.407,97","1.484.548.355,83","1,75","178.983.871,00","174.048.338,00","-2,76","4,63"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"86,341","11,756","408,823","472,314","524,891","3,486,095","6,770,859",1,1,"31,25",,"903.633.071,75","841.967.146,68","-6,82","474.341.388,00","431.534.297,00","-9,02","2,42"
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"43,552","81,412","460,318","467,392","524,714",-,-,"2,625",0,0,,"16.798.513,19","21.502.425,78","28,00","333.467.620,00","415.772.084,00","24,68","2,66"
YPV,YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"73,782","86,892","441,099","473,107","523,986","2,329,880",-,"2,1","2,1","60,07","3,65","63.413.771,80","76.194.564,44","20,15","8.684.718,00","10.168.739,00","17,09","2,62"
YAN,YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"65,488","59,256","446,923","456,870","521,386","2,222,142","4,368,317","1,5","1,5","28,07","3,65","370.797.316,47","414.439.637,24","11,77","1.668.832.189,00","1.689.315.221,00","1,23","10,41"
GO2,FONERİA PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"41,269","89,747","347,895","453,966","521,113",-,-,1,1,31,"3,65","434.159.974,44","487.498.802,66","12,29","11.932.423,00","12.938.111,00","8,43","3,56"
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,Karma Şemsiye Fonu,"83,928","0,7172","381,908","610,709","516,637","2,665,749","6,793,898","2,1","2,1","78,8","3,65","1.187.872.949,62","1.794.770.607,66","51,09","1.033.876.154,00","1.515.030.352,00","46,54","3,11"
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"40,335","76,691","453,863","451,714","516,261","1,631,316","2,759,782","0,6","0,6","66,24","3,65","147.715.012,09","212.159.441,15","43,63","72.378.663,00","94.317.785,00","30,31","10,22"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"37,102","83,919","449,726","488,963","515,546","2,073,311","3,414,926","1,5","1,5","26,44","2,56","18.628.528.937,14","19.336.730.811,40","3,80","9.832.195.392,00","9.933.458.099,00","1,03","2,74"
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"23,481","77,283","281,018","470,236","515,205",-,-,"1,46","1,46","65,92","3,65","0,00","127.915,88","0,00","0,00","130.343,00","0,00","0,00"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"35,574","56,422","617,240","476,765","513,074","2,291,222",-,"1,8","1,8","67,2","2,19","335.846.458,26","294.746.345,47","-12,24","43.324.508,00","36.914.434,00","-14,80","3,00"
FNO,QNB FİNANS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"14,080","51,403","469,301","466,957","505,935","1,979,993","3,494,448","1,995",0,0,,"365.526.873,94","362.339.382,95","-0,87","113.314.296,00","110.018.406,00","-2,91","2,10"
FFP,QNB FİNANS PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"30,112","56,145","407,097","456,797","501,043",-,-,"2,92","2,92","91,59","3,65","7.587.005.620,60","7.799.424.273,92","2,80","2.229.560.503,00","2.229.753.755,00","0,01","2,79"
YAK,YAPI KREDİ PORTFÖY KARMA FON,Karma Şemsiye Fonu,"44,243","56,699","535,015","396,480","499,389","2,842,437","4,431,023","0,3","0,3","80,41","2,19","13.523.838,74","21.784.747,71","61,08","2.248.362,00","3.525.104,00","56,79","2,74"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Şemsiye Fonu,"33,341","64,372","452,747","497,447","498,504","931,426","2,263,242","0,5",0,0,,"562.095.878,31","602.024.236,71","7,10","16.587.912,00","17.158.572,00","3,44","3,54"
TJF,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"106,247","30,514","410,804","565,215","497,151",-,-,"2,68","2,68","81,11","3,65","5.923.370.611,76","6.391.922.728,68","7,91","2.262.818.600,00","2.385.512.803,00","5,42","2,36"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,"37,857","121,945","878,023","480,840","496,841","8,234,561","1.418,3226","2,993","2,993","42,02","3,65","902.668.433,42","908.565.457,75","0,65","2.949.310.676,00","2.781.152.315,00","-5,70","6,74"
TE4,TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,983","53,706","395,320","464,357","491,101",-,-,"2,993","2,993","13,29","3,65","530.458.682,40","438.877.530,50","-17,26","173.249.244,00","139.327.005,00","-19,58","2,88"
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"27,308","21,769","331,408","402,228","483,356",-,-,"2,5","2,5","95,18","3,65","2.363.801.978,05","2.252.961.898,36","-4,69","2.045.462.962,00","1.895.497.277,00","-7,33","2,85"
TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,6412","39,872","442,933","460,065","483,158","2,124,202","3,585,542",2,0,"55,4","4,38","38.464.418,77","40.669.492,47","5,73","62.811.696,00","62.488.196,00","-0,52","6,28"
ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"26,962","46,271","418,959","468,391","482,603","2,725,355",-,2,2,"68,86","4,38","7.864.337.948,97","8.267.727.080,92","5,13","1.069.847.537,00","1.098.132.972,00","2,64","2,42"
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,"0,8359","50,266","503,946","435,652","480,522","3,560,273",-,"0,5",0,"65,8",0,"867.061,76","73.242.730,48","8.347,23","993.040,00","52.872.346,00","5.224,29","58,65"
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,7809","36,387","467,519","493,914","477,856",-,-,"1,5","1,5","75,84","2,19","3.757.926.111,62","3.791.499.096,10","0,89","8.779.173.494,00","8.665.364.805,00","-1,30","2,22"
YLC,ATA PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,"52,102","31,383","542,528","450,430","474,022",-,-,"1,5","1,5","80,73","2,19","17.790.779,61","15.427.626,69","-13,28","37.445.544,00","32.320.354,00","-13,69","0,47"
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,032","73,281","346,337","444,852","463,138","1,329,760","2,276,619","1,46","1,46","26,7","2,56","1.340.649,88","1.370.911,74","2,26","14.895.720,00","14.885.810,00","-0,07","2,33"
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"22,478","65,357","301,696","390,074","462,122","1,480,282",-,"1,64","1,64","31,67","3,65","140.294.494,50","193.014.158,62","37,58","79.504.497,00","96.753.254,00","21,70","13,05"
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,"76,643","36,354","625,957","413,545","456,395",-,-,"1,5","1,5","67,21",0,"100.900.277,49","117.641.568,65","16,59","37.003.228,00","39.058.539,00","5,55","10,46"
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"26,194","73,440","259,515","347,902","445,598","1,232,413","1,972,734","2,37","2,37",76,"3,65","227.876.216,95","272.980.442,06","19,79","93.357.999,00","103.787.472,00","11,17","7,76"
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"35,118","117,811","425,576","332,345","440,062","1,714,822","3,040,489","2,25",0,0,"4,38","766.881.859,79","914.481.103,74","19,25","24.904.596,00","27.943.887,00","12,20","6,28"
IUT,INVEO PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"61,070","-0,1105","418,816","385,619","437,871",-,-,"2,9","2,9","80,79","3,65","424.601.059,93","490.437.869,25","15,51","90.543.656,00","103.272.134,00","14,06","1,27"
RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"20,218","-69,430","520,540","289,835","426,706",-,-,"2,75",0,"93,36","3,65","67.140.552,15","77.448.514,33","15,35","9.273.503,00","9.922.838,00","7,00","7,80"
YJK,YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"105,071","70,219","418,078","493,319","423,925",-,-,"2,5","2,5","64,28",0,"378.112.583,77","484.645.770,70","28,17","137.422.969,04","171.927.714,04","25,11","2,45"
IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"0,1854","26,616","319,924","388,453","421,889","1,404,806","2,522,796","1,5","1,5","67,25",0,"82.370.622,70","71.139.252,72","-13,64","25.711.212,28","21.726.469,28","-15,50","2,20"
ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"31,897","83,633","211,680","371,130","421,344",-,-,2,0,"60,67","4,38","82.098.863,54","85.084.368,39","3,64","2.967.102,00","2.900.412,00","-2,25","6,02"
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"0,3112","36,115","585,752","162,644","420,226","3,224,241","4,382,243","2,9","2,9","130,19","3,65","146.186.278,14","168.720.932,34","15,42","12.718.030,32","13.690.521,32","7,65","7,22"
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,"0,5603","53,282","450,409","455,318","419,296",-,-,1,1,"69,58","2,19","46.479.031,86","49.455.911,16","6,40","36.578.171,00","36.655.820,00","0,21","6,18"
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"50,264","-69,335","354,200","460,718","418,090",-,-,"1,75","1,75","34,92",0,"62.505.290,98","93.913.472,02","50,25","34.120.902,00","44.819.590,00","31,36","14,38"
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"22,284","66,723","295,753","345,811","417,581",-,-,"1,25","1,25","34,53","3,65","97.028.829,86","115.891.868,86","19,44","57.004.081,00","59.105.258,00","3,69","15,19"
FZP,FİBA PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,"34,623","89,901","232,581","364,561","412,130","1,109,466",-,"1,5","1,5","41,76","3,65","17.780.368,35","17.482.359,97","-1,68","7.541.916,00","7.293.336,00","-3,30","1,68"
KIF,TRIVE PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,"0,6467","0,6927","215,983","342,564","406,953",-,-,"2,7","2,7","102,81","3,65","2.840.379.879,46","2.908.452.860,98","2,40","74.900.159,00","74.632.210,00","-0,36","2,76"
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,Serbest Şemsiye Fonu,"35,843","24,827","395,088","279,096","395,195","1,992,484",-,"2,5","2,5","138,46","3,65","3.566.493,70","3.340.696,92","-6,33","1.648.372,00","1.491.624,00","-9,51","3,51"
OVD,QNB FİNANS PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,9245","43,993","445,603","423,562","393,715",-,-,"1,45","1,45","35,84","1,65","142.662.415,87","158.046.815,17","10,78","41.964.141,00","45.428.343,00","8,26","2,34"
TBE,TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"22,370","-21,544","383,710","320,009","389,471",-,-,1,0,0,0,"31.458.609,66","37.762.013,77","20,04","9.597.603,00","11.420.495,00","18,99","0,88"
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,Serbest Şemsiye Fonu,"36,441","86,256","300,754","355,860","389,084","1,179,249",-,"2,5",0,"38,22",0,"78.534.077,05","79.642.479,58","1,41","48.028.367,00","47.272.637,00","-1,57","3,03"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"33,685","99,372","205,575","347,175","386,506","1,058,082","1,888,414","2,8",0,0,,"69.207.605,78","67.347.762,51","-2,69","41.602.156,00","39.364.476,00","-5,38","2,84"
GPF,GARANTİ PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"29,492","84,952","255,254","353,925","384,098","1,181,561","1,757,728",0,"1,5","36,04","1,65","13.627.825,33","13.989.095,97","2,65","5.716.643,00","5.736.709,00","0,35","2,29"
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"33,046","94,248","207,744","346,940","382,949",-,-,0,2,"36,47",0,"4.171.308.608,38","3.937.011.456,80","-5,62","348.742.817,00","323.572.359,00","-7,22","1,73"
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"47,438","107,508","221,711","373,696","382,155",-,-,"1,25","1,25",0,,"731.875.951,45","632.955.332,85","-13,52","105.302.228,00","89.023.909,00","-15,46","2,30"
EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"22,898","48,513","321,280","349,768","378,916","1,352,623","2,156,852","1,5",0,33,"3,65","2.142.504.854,70","2.347.525.393,74","9,57","1.315.319.981,00","1.400.560.530,00","6,48","2,90"
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,"-0,1636","41,658","468,737","396,498","378,605",-,-,2,0,"33,25","3,65","37.708.902,57","69.041.545,52","83,09","1.165.671,00","2.039.727,00","74,98","4,63"
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"33,363","97,938","205,998","341,960","378,588",-,-,1,0,"16,99","3,65","105.058.947,31","114.079.076,55","8,59","50.702.807,00","54.238.113,00","6,97","1,51"
GKS,INVEO PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,"51,154","141,424","360,051","305,644","376,352","1,949,821",-,"2,518","2,518","64,98","3,65","0,00","260.806,52","0,00","0,00","261.317,00","0,00","0,00"
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"0,3579","48,230","147,669","246,670","373,245","1,143,849","1,984,785","0,4","0,4","29,17","3,65","1.860.055.762,64","1.961.545.640,13","5,46","1.311.507.830,00","1.343.738.029,00","2,46","2,93"
PDD,QİNVEST PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"30,808","40,923","366,285","308,119","371,289",-,-,2,0,"81,74",0,"350.330.680,81","263.016.208,89","-24,92","249.381.022,00","181.851.627,00","-27,08","2,96"
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,466","55,898","362,531","275,327","366,136","2,230,281","3,437,703","0,803","0,803","72,24","3,65","28.239.328,76","51.613.289,93","82,77","1.011.256,00","1.738.919,00","71,96","6,29"
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,042","-22,750","444,173","350,561","365,470",-,-,"1,25","1,95","60,88","4,38","7.042.319,19","5.888.396,87","-16,39","3.841.024,00","3.125.291,00","-18,63","2,76"
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"33,851","93,264","191,186","327,358","364,746","1,026,437","1,778,281","1,25",0,"52,62","4,38","407.281.182,41","359.257.149,07","-11,79","225.868.450,00","193.431.875,00","-14,36","3,00"
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,"32,810","97,088","203,873","332,523","364,687",-,-,"0,5","0,5","53,59","4,38","28.094.522,50","27.320.247,64","-2,76","22.700.952,00","22.654.235,00","-0,21","-2,56"
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"27,123","57,649","222,785","252,949","361,958",-,-,"1,752","1,752","72,41","2,19","18.444.783,61","17.120.194,68","-7,18","239.271.779,00","215.745.841,00","-9,83","2,94"
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,"32,441","94,733","201,470","327,677","360,396",-,-,"20,002",0,"95,9","3,65","197.233.187,51","202.793.001,85","2,82","42.140.372,00","42.136.090,00","-0,01","2,83"
GKH,GARANTİ PORTFÖY KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"31,804","88,072","226,250","329,548","358,726",-,-,"20,002",0,0,"3,65","111.000.558,16","125.941.009,04","13,46","54.995.402,00","55.399.347,00","0,73","12,63"
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"32,149","94,272","199,921","326,106","358,362",-,-,"0,1","0,1","56,13","4,38","482.251.701,95","489.886.646,32","1,58","13.783.556,00","13.330.642,00","-3,29","5,03"
GLS,AZİMUT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,"32,363","84,896","212,752","307,585","358,240","905,680","1,631,302","0,1","0,1","36,2","4,38","800.671.518,92","817.618.072,92","2,12","103.617.146,00","100.724.786,00","-2,79","5,05"
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"31,933","93,216","197,845","325,320","355,495","945,616",-,"0,65","0,65","53,2",0,"93.508.047,58","97.075.717,66","3,82","55.615.934,00","55.487.748,00","-0,23","4,06"
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"-0,5547","32,774","463,561","349,595","352,939","3,880,984","4,554,013",2,2,"69,31","2,19","101.880.750,05","106.383.547,24","4,42","33.520.898,00","33.737.995,00","0,65","3,75"
DGH,ATA PORTFÖY ÜÇÜNCÜ SERBEST (TL) FONU,Serbest Şemsiye Fonu,"33,354","97,928","195,272","320,832","350,616","952,939","1,664,861","2,95","2,95","106,86","4,38","428.822.488,17","433.605.229,86","1,12","127.252.177,00","126.117.196,00","-0,89","2,03"
